objectid,filename,title,creator,date,description,subject,format,language
coll001,test001.jpg,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,image/jpeg,eng
coll002,Transcript Interview_Strum_2017.pdf,Transcript of Dee Dee Strum 2017 Interview,Megan Smedley,2017-12-1,"This is a transcript of the interview between Megan Smedley and Mabel Deloise (Dee Dee) Strum. This interview was conduted on December 1, 2017 and in it Smedley and Strum discuss Strum's experience as an undergraduate Human Ecology and Family and Community Development major at the University of Maryland to 1974 and as a masters student at UMD to 1977.",master's degree; transfer student; Alpha Kappa Alpha; AKA; Phi Beta Sigma; politics; HBCU; Brown v. Board; military family,application/pdf,eng
coll003,,,,,,,,
coll004,,,,,,,,
coll005,,,,,,,,
coll006,,,,,,,,
coll007,,,,,,,,
coll008,,,,,,,,
coll009,,,,,,,,
coll010,,,,,,,,
coll011,,,,,,,,
coll012,,,,,,,,
coll013,,,,,,,,